证券代码,证券名称,省份,行业类别,2018净利润（万元）
430571.OC,科硕科技,广东,资本品,300.367
430572.OC,奥普节能,河北,技术硬件与设备,118.9527
430573.OC,山水节能,湖南,资本品,"1,763.62"
430574.OC,星奥股份,北京,资本品,-820.8016
430575.OC,迈科网络,江苏,软件与服务,-678.161
430576.OC,泰信电子,山东,软件与服务,-331.0836
430577.OC,力龙信息,湖北,软件与服务,-227.4395
430578.OC,差旅天下,吉林,商业和专业服务,"2,591.17"
430579.OC,龙源科技,江苏,资本品,629.8856
430580.OC,云天软件,浙江,软件与服务,-128.8118
430581.OC,八亿时空,北京,技术硬件与设备,"11,448.91"
430582.OC,华菱西厨,安徽,资本品,"3,460.53"
430583.OC,国贸酝领,江苏,软件与服务,17.7845
430584.OC,弘陆股份,上海,商业和专业服务,-201.3096
430585.OC,金瑞科技,江苏,软件与服务,-39.3343
430586.OC,兴港包装,江苏,原材料,757.4945
430588.OC,天松医疗,浙江,医疗保健设备与服务,"3,737.80"
430589.OC,银河激光,江苏,商业和专业服务,70.4001
430590.OC,晶宝股份,四川,技术硬件与设备,450.6992
430592.OC,凯德股份,湖南,资本品,"1,764.33"
430593.OC,华尔美特,江苏,耐用消费品与服装,-719.8429
430594.OC,ST盈光,广东,技术硬件与设备,-532.6393
430595.OC,唐人通服,江西,技术硬件与设备,"2,186.57"
430596.OC,新达通,广东,技术硬件与设备,"-3,241.01"
430597.OC,博安通,广东,技术硬件与设备,"-2,567.30"
430600.OC,徽电科技,安徽,资本品,"2,184.48"
430601.OC,吉玛基因,江苏,制药、生物科技和生命科学,306.1463
430602.OC,腾旋科技,江苏,资本品,655.4196
430604.OC,三炬生物,福建,原材料,-940.7349
430607.OC,大树智能,江苏,资本品,"2,647.23"
430609.OC,中磁视讯,山东,软件与服务,"10,158.48"
430610.OC,瀚远科技,江苏,软件与服务,397.9793
430611.OC,长信股份,上海,电信业务,79.9293
430615.OC,华工创新,辽宁,资本品,419.6689
430616.OC,鸿盛数码,河南,原材料,180.6624
430619.OC,格纳斯,四川,技术硬件与设备,-943.7826
430620.OC,益善生物,广东,医疗保健设备与服务,649.5338
430621.OC,固安信通,河北,汽车与汽车零部件,"3,991.80"
430622.OC,顺达智能,江苏,资本品,"-3,135.95"
430623.OC,箭鹿股份,江苏,耐用消费品与服装,"5,122.79"
430626.OC,胜达科技,山东,原材料,496.7586
430627.OC,ST页游,四川,媒体与娱乐,-365.4057
430629.OC,国科海博,四川,软件与服务,"-2,203.26"
430630.OC,合胜科技,上海,软件与服务,"1,973.08"
430632.OC,希奥信息,上海,软件与服务,"3,185.30"
430634.OC,华江股份,上海,技术硬件与设备,"-2,475.11"
430635.OC,ST展唐,上海,商业和专业服务,"11,465.32"
